organizacion_id;provincia_id
16220;06
16221;06
16305;06
16307;06
16314;06
16361;06
16549;06
16629;06
16694;06
17092;06
17093;06
17131;06
17235;06
17299;06
17360;06
17362;06
17410;06
17653;06
17690;06
17828;06
18102;06
18138;06
18147;06
18322;06
18657;06
19051;06
19066;06
19067;06
19068;06
19076;06
19107;06
19137;06
19401;06
19839;06
17770;06
18540;06
19065;06
11928;06
14578;06
15183;06
18507;06
19105;06
10894;06
16330;06
17680;06
17681;06
16359;06
5702;06
7131;06
9336;06
9898;06
9899;06
9900;06
9901;06
9902;06
9903;06
11948;06
11991;06
12125;06
12187;06
12603;06
12919;06
13205;06
13586;06
13997;06
14510;06
15533;06
15624;06
15831;06
15832;06
15943;06
16347;06
17772;06
17876;06
18894;06
19379;06
8;06
339;06
340;06
342;06
343;06
344;06
345;06
346;06
347;06
348;06
349;06
350;06
351;06
352;06
353;06
354;06
355;06
356;06
357;06
358;06
359;06
360;06
361;06
362;06
363;06
364;06
365;06
366;06
367;06
368;06
370;06
371;06
372;06
373;06
374;06
375;06
376;06
377;06
378;06
379;06
380;06
381;06
382;06
383;06
583;06
588;06
604;06
635;06
636;06
637;06
638;06
639;06
680;06
681;06
682;06
867;06
874;06
875;06
877;06
878;06
880;06
881;06
895;06
896;06
897;06
898;06
899;06
900;06
901;06
902;06
903;06
904;06
960;06
962;06
990;06
991;06
992;06
994;06
995;06
996;06
997;06
998;06
1048;06
1049;06
1052;06
1055;06
1056;06
1057;06
1060;06
1061;06
1066;06
1068;06
1076;06
1078;06
1079;06
1080;06
1081;06
1087;06
1094;06
1095;06
1107;06
1108;06
1109;06
1110;06
1125;06
1136;06
1139;06
1146;06
1147;06
1168;06
1171;06
1180;06
1186;06
1187;06
1195;06
1208;06
1234;06
1237;06
1244;06
1258;06
1281;06
1287;06
1291;06
1323;06
1358;06
1363;06
1380;06
1404;06
1453;06
1455;06
1480;06
1531;06
1553;06
1560;06
1561;06
1574;06
1575;06
1621;06
1622;06
1626;06
1645;06
1650;06
1651;06
1661;06
1668;06
1670;06
1673;06
1696;06
1712;06
1718;06
1794;06
1835;06
1860;06
1861;06
1871;06
1872;06
1887;06
1889;06
1901;06
1904;06
1908;06
1935;06
1948;06
1958;06
1971;06
1974;06
1979;06
2004;06
2008;06
2009;06
2012;06
2013;06
2022;06
2029;06
2092;06
2093;06
2094;06
2107;06
2108;06
2316;06
3228;06
3384;06
3401;06
3411;06
3412;06
3416;06
3417;06
3445;06
3464;06
3488;06
3529;06
3542;06
3584;06
3587;06
3591;06
3593;06
3594;06
3595;06
3596;06
3597;06
3598;06
3601;06
3602;06
3625;06
3648;06
3661;06
3667;06
3701;06
3753;06
3754;06
3758;06
3826;06
3833;06
3867;06
3872;06
3873;06
3886;06
3912;06
3947;06
3954;06
3955;06
3960;06
3964;06
4070;06
4076;06
4078;06
4079;06
4119;06
4120;06
4125;06
4126;06
4156;06
4289;06
4341;06
4400;06
4501;06
4502;06
4503;06
4504;06
4506;06
4508;06
4521;06
4536;06
4539;06
4564;06
4565;06
4566;06
4567;06
4603;06
4604;06
4634;06
4643;06
4644;06
4702;06
4709;06
4737;06
4753;06
4785;06
4786;06
4792;06
4876;06
4901;06
4910;06
4912;06
4920;06
4921;06
4953;06
4961;06
4962;06
4971;06
4980;06
4983;06
4989;06
4998;06
5081;06
5082;06
5088;06
5101;06
5127;06
5199;06
5226;06
5227;06
5235;06
5273;06
5310;06
